WorkerId,Answer.essay1,Answer.essay2,job_title,Answer.burnedout,Answer.energized,Answer.engrossed,Answer.fatigued,Answer.frustrated,Answer.intend_look,Answer.intend_stay,Answer.meaningful,Answer.proud,Answer.strong,Answer.time_flies,Answer.want_stay,Org Type,Years Experience,Industry,org_size,ONET1,ONET2,ONET3,Role_level
66,"I enjoy my job because it's something I grew up doing and it's one of my hobbies. So getting paid to do a hobby is ideal for me. I was always technically minded and enjoy troubleshooting computers and electronics in my youth.  Getting paid to manage computers, networks, and IT equipment is great. I feel comfortable and enjoy what I do. I also like the fact that the industry is constantly evolving and my knowledge grows along with the changes. I am learning new technologies all the time and gaining more experience at the same time. IT is also very broad so I can work for any company.","Majority of the time, I feel the day goes by quickly. As long as there's issues to resolve and upgrades to do, I am constantly busy. The tasks are never repetitive or mundane, it's always something new which I gain experience upon. I usually feel very focused on the task at hand. For an example, working with network security. There are constantly external threats to my company in the form of spam emails, phishing attempts, unauthorized access, etc. These threats change every few weeks or months. I am constantly having to keep up with the new methods to detect these threats and upgrade software to block access. It's challenging and rewarding at the same time.",IT Systems Administrator,A few times a year,Frequently,Sometimes,Monthly,A few times a month,Neither Agree nor Disagree,Somewhat Agree,Sometimes,Frequently,Sometimes,Occasionally,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,1001 to 5000,Computer and Mathematical  ,Computer Occupations,Computer and Information Analysts,Senior Individual Contributor
67,"I like working with students and seeing their growth academically and as human beings over time. It’s often a fulfilling job because of that. It feels like I make a difference sometimes based on what kids say to me, how they enjoy math now even though they didn’t used to, or when they say they didn’t think they could do as well as they’re doing now. When students light up because they’ve figured something out, or when they are going out of their way to strive to be better, that makes everything else worth it.","Time generally passes quickly when I am working, and it is easy to focus because there isn’t much choice in the matter. If you’re distracted in my job, which is working in an urban school, things can go out of control, so staying focused and active is a requirement. The only time it passes slowly is during “professional development days” or other work days that don’t have students present. Whenever I’m teaching, I enjoy my job and there’s so much to do that time seems to disappear. It never feels like there is enough time in the day.",Upper elementary/Middle School Teacher,A few times a year,Frequently,Frequently,A few times a month,A few times a month,Disagree,Strongly Agree,Nearly Always,Nearly Always,Frequently,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Grade 1-8 Teachers,Senior Individual Contributor
68,"I like my job itself. I like the job I do and the kind of work. I get to work independently and with people. I work in a warehouse setting. I get to work with material, tools and machinery. It's a hands on job with some responsibility.I like that I don't sit at a computer all day and that I get to move around. I'm not in an office setting, so I can show up at work in jeans and a sweatshirt. I get to be comfy and not need to dress up. I also have added responsibility of working with some reports and analyzing issues with payments and materials. I get to investigate and solve the issues. That's something I enjoy doing and find it rewarding.","I think whether time passes quickly or slowly depends on the day and what is going on. Some days there is more to do than others. Some days it's hectic while others can be relaxed. I like the mix. Being able to focus, or whether I get distracted depends again on what's going on. I tend to focus better on hectic days. When it's relaxed and not hectic I have more time to think of other things. When it's hectic, I need to focus on the task more. For an example, is the work we do once a year for annual maintenance. This happens once a year and for a couple of weeks. When this happens, it's crazy with lots going on. At those times, time passes extremely quickly and I focus better because I don't have time to day dream. I need to focus on the tasks going on to ensure I don't make any mistakes. It's crazy but good.",Customer Support Specialist,A few times a month,Sometimes,Occasionally,A few times a month,Every week,Disagree,Strongly Agree,Rarely,Occasionally,Sometimes,Occasionally,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Utilities,1001 to 5000,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Senior Individual Contributor
69,The thing I like the most about my current job is that I am able to teach students from different cultures and backgrounds. For me this is refreshing and makes my work very interesting.  I am always learning new things from my students.  This is helpful for me because learning about different cultures and countries is a hobby.,"Generally time passes quite quickly when I am working. This is because I have to concentrate every moment on my job and the students.  Most of the time it's easy to focus on my work.  Occasionally I get distracted if there is some sort of noise or annoyance going on around me.  For example, there might be another classroom which is doing a noisy activity while I am trying to conduct a quiet lesson with my students.",English,A few times a year,Sometimes,Nearly Always,Monthly,A few times a year,Neither Agree nor Disagree,Somewhat Agree,Nearly Always,Frequently,Sometimes,Frequently,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Educational Instruction and Library  ,Other Teachers and Instructors,"Adult Basic, Adult Secondary, and English as a Second Language Instructors",Senior Individual Contributor
70,"The variety of tasks that I do daily.  Each day is different from the previous  work day.  In performing my variety of daily task.  Some days I'm dealing strictly with pallets and items, other days I'm dealing with only clients and still other days I wear amny hats and juggle both clients and items. I am both physically and mentally challenged.  This is great for me as I love a challenge.  Clients are ever changing and I challenge myself to fulfill their need on the job.","Most of the time, time passes quickly at my work place.  I am engrossed in my work for the most part but am frequently interrupted to assist other co workers or clients.  I wouldn't say that I am distracted at all because each aspect of my job is related to the other parts.  for instance, I use electric pallet jacks and other large pallet and item machines. I use these machines to move things around the warehouse and to load items into clients' vehicles.  As such, i am frequently dealing with many different people and wearing many hats throughout my work day.",warehouse associate,Never,Frequently,Nearly Always,Never,A few times a year,Strongly Disagree,Strongly Agree,Nearly Always,Always,Frequently,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,9,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Senior Individual Contributor
71,That i can meet people of different walks of life. There are a lot of people that are not well off that i tend to deal with and i actually enjoy chatting with them and knowing how they live their lives in that neighborhood where my work is located. Its a whole different lifestyle . I also like dealing with them as they are not so obnoxious as rich people and a little easier to deal with. I also like selling them products knowing that i gave them a good deal and that they cannot afford more but deep down inside i know i did something good for that person and not ripped them off because they do not have a lot of money to spend.,Sometimes it passes quickly and sometimes it dont. Like if i meet an interesting customer we eventually end up chatting and talking about sports or just general small talk. In those situations i really feel the time fly by. But when i'm not doing anything and just sitting around or waiting around i question myself like what am i even doing at this job and do i need to stay here or do i want to stay here. But when i get to help a customer that is smart about their shopping or an interesting person i feel the time does fly by quick which i love.,sales person,Every week,Sometimes,Frequently,A few times a month,Every week,Somewhat Agree,Somewhat Agree,Rarely,Occasionally,Frequently,Occasionally,Strongly Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,101 to 500,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Junior Individual Contributor
72,"I enjoy that my job has a direct impact on people and is more than just a means of lining someone's pockets.  I do a lot of data research, and enjoy trying to find new insights that can positively impact people's lives.  This can be accomplished by either finding some trends that can impact how we serve our customers' needs, or identifying problems that would impact the customer experience.  Every once in a while I get some personal contact with customers that I've had an impact on, which motivates me to continue seeking new opportunities for improvement.","Time typically passes quickly, and it's easy for me to focus on work.  There are days that I have to partake in meetings, but most days I get to be relatively task-oriented.  My favorite days are those where I'm able to really focus on a problem and try to solve long-standing issues.  Some days I'm told that I focus too much, as people will come in to talk to me while I'm working intently on something and don't notice them standing there.  My coworkers typically get my attention before they start talking.",business analyst,A few times a year,Sometimes,Sometimes,A few times a month,A few times a month,Disagree,Agree,Sometimes,Nearly Always,Frequently,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Computer and Mathematical  ,Computer Occupations,Computer and Information Analysts,Senior Individual Contributor
73,"I love that when I go to work everyday I get to make a difference in the lives of my students and in the future of society.  As a teacher, I get to work with young people everyday and I get to help guide them as they make decisions that will shape the rest of their lives.  My students ensure that each day is different from the last, there is rarely a dull moment and I am forever growing in my role as teacher, in myself always in an effort to be better for my students.","Time with my students usually goes quickly.  Our discussion and exchanges make time fly by, when they are fully engaged and focused it makes for fast class.  I am focused when I am with my students.  Fully engaged with them, making the most of our time together.  When I am on my prep period, that is when I am either fully focused and getting the grading and preparation for future lessons done, or when I am tired I tend to be unfocused and get distracted letting my attention stray, always to something related but perhaps not as pressing.",High School English Teacher,Never,Nearly Always,Nearly Always,A few times a year,A few times a year,Somewhat Agree,Agree,Always,Always,Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,1001 to 5000,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Grade 9-12 Teachers,Middle Manager
74,"I get to interact with clients from foreign countries at my job, and I really enjoy that part of the job. Right now, most of the people are from India, and before most of the clients came from Saudi Arabia. I really enjoy learning about different cultures and their habits. For example, I learned recently that Seikh women never cut their hair. I knew that the men wore hats or turbans, but i did not know about the women.","I believe that time passes very slowly at work for a variety of reasons. The first reason is that I do not have that many things to do in an average day. I work nine hours :( and i have enough work for maybe two hours. I cannot read a book or anything so I have to sit there are pretend to work. Pretending to work is the hardest thing for me to do. I have never enjoyed pretending to work, even when I was in school.",IELTS Admin,A few times a year,Occasionally,Rarely,A few times a month,Monthly,Somewhat Disagree,Disagree,Frequently,Frequently,Sometimes,Occasionally,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,50001 to 200000,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Senior Individual Contributor
75,"What I like most about my job is some of the people I work with as well as the work that I do is something I am good at and enjoy, usually. Most of the people I work with I like talking to and getting to know. It helps to have people you like at the workplace to chat with to take your mind off work for a couple minutes every little bit. It allows me to feel refreshed and more focused when I go back to working.","Whether or not time goes quickly at work depends on what I am doing and what my workday is going to look like. If I am going to have a lot of meetings and things that I consider a waste of my time, then the day will go slowly. However, when I am actually focusing on the job I was hired for and those tasks work generally goes quickly. I don't often get distracted while at work. There are times though where if people are making a lot of noise across the hallway that I find my mind wandering.",IT Support,A few times a month,Sometimes,Sometimes,Every day,A few times a week,Disagree,Somewhat Agree,Rarely,Sometimes,Occasionally,Occasionally,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Insurance,1001 to 5000,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Junior Individual Contributor
76,"I work in a public facing job in a library doing tech education for adults. I love planning learning experiences and identifying what technology skills will most improve our patron's lives. I also work a check out desk  several hours a week and enjoy the chance to promote the library's primary mission of freely sharing books, magazines, movies, and more. My favorite task is registering someone for a library card because we do so much and new patrons are always incredibly pleased to learn about everything their library card gives them access to. I also love teaching coding to our advanced learners as that is something that I personally enjoy and I often am able to learn new skills so I can pass them on to our learners.","My job is built around distractions - since my primary base is in a public computer lab you never know what types of question you will get or how long they will take. Patrons can ask any tech question they want, so I might help a business person with their website and turn around and show someone how to use a mouse and keyboard to write a letter and then have to help someone write a resume. There is huge variety to both the tasks and the people you work with, so you are constantly switching gears in your mind. I also work a check-out desk with a similar set up. Each type of setting has a wide variety of tasks you do to help patrons and the walk-up nature of the help makes it impossible to predict if you will be busy or slow. So, if you start a task like writing a handout, planning for a class, processing returned item, etc., you have to drop it if a patron has a question or need assistance. At most, out of a 40 hour week you get 8 hours of desk time -usually split into 30 or 60 minutes at a time. The rest of the time you are on a public desk and work in additional task around patron demands.So, sitting down to focus is hard. However, the busy nature of the job and wide variety of tasks means that time typically passes very quickly.",Library Computer Lab Assistant,A few times a month,Frequently,Sometimes,Monthly,Every week,Somewhat Disagree,Strongly Agree,Frequently,Nearly Always,Sometimes,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Miscellaneous Educational Instruction and Library Workers,Junior Individual Contributor
77,"As a supervisor of a high-capacity production team, I enjoy being involved in every aspect of the production process. I have a great team and I enjoy working with my team as peers, rather than subordinates. I like to ensure everyone is properly trained and I get a lot of pleasure out of helping others grow and learn. I truly believe that a supervisor/leader is only as strong as his team and I want to make sure that everyone in my team knows that I want them to succeed and that I rely on them for my success as well.","I usually become engrossed in my work as there is a lot of small detail that I must review for every order that goes through. Its very easy to focus on this, but also very easy to be distracted, especially as a supervisor. I may be in the middle of working with our technicians and reviewing a formula or making changes to a formula. This is a lengthy process in itself. If I am then pulled away by a phone call or an employee question. I may forget where I left off and accidentally miss one of my changes. This oversight could impact an entire formula and cause a rejection and prompt a remake.",Production Planning Supervisor,A few times a year,Frequently,Nearly Always,Never,A few times a year,Disagree,Agree,Nearly Always,Nearly Always,Nearly Always,Nearly Always,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Manufacturing,10001 to 50000,Office and Administrative Support  ,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Production, Planning, and Expediting Clerks",Senior Individual Contributor
78,"What I like best about my job are the hours in which I work and the slight flexibility I am allowed in my hours. I am allowed to come into work an hour and a half later and stay an hour and a half later. This has allowed me to get some much needed sleep and has improved my health a little bit, in comparison to when I used to work normal hours and come in at office opening time. The flexibility has allowed me to become a little more productive as I am not as exhausted and worn out during the work week. This is one of the few things that I actually like about my job and is something that has helped me to stay afloat in a stressful and relentless work environment.","For the most part, time passes quickly while I am at work because there are not enough hours during the course of the day to get everything done. The work is piled up and the expectations of workload are unrealistic. Thus, time normally moves quickly because I am trying to get a lot of things done by the end of each day and there never seems to be enough hours in the day to get these things done. It is generally neither easy or hard to focus on work tasks that don't involve heavy concentration. Whenever there is work that needs to be done that involves deep focus, it is easy to get distracted because of the foot traffic and distractions in my work environment during the course of the day. An example would be the requirement of reading through reports for grammatical errors. While trying to read through the reports for grammatical errors, the phone rings, e-mail notifications pop up on the screen, the custodians are making lots of noise out in the hallway, the elevator outside of the door beeps all day, there is talking going on outside of the office, and the occupants of the offices next door go in an out 5-10 times an hour, slamming doors often. Thus, it is an environment which is difficult to work on projects that require deep and focused concentration.",Data Analyst,A few times a week,Rarely,Occasionally,A few times a week,A few times a week,Agree,Somewhat Disagree,Rarely,Rarely,Occasionally,Frequently,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Instructional Coordinators,Junior Individual Contributor
79,"I like helping customers out a lot. Solving problems makes me happy and I like to feel as if I am a positive impact on other people. Helping people communicate with their loved ones makes me happy and I like explaining to people how to use what they've spent a lot of money on. Teaching people is a passion of mine, so instructing them on things they want to do with their phone, or didn't even KNOW they could do soothes me.","I get easily distracted when I am working, but the time passes fairly quickly if we aren't busy. When we are very busy, with no time to relax between calls, the pressure makes the time crawl. But regardless of the tempo, I get distracted very easily and need to pull myself away from work mentally for a few minutes, especially if I have been dealing with a very complex or combative issue. An example of this was earlier today when I was helping a customer who did not grasp the concept of pro-rations. After my third time explaining, I found my mind wandering.",CSR,A few times a year,Rarely,Sometimes,A few times a month,A few times a week,Disagree,Strongly Agree,Frequently,Nearly Always,Occasionally,Occasionally,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,Do Not Know,Office and Administrative Support  ,Other Office and Administrative Support Workers,Data Entry and Information Processing Workers,Senior Individual Contributor
80,I do enjoy watching kids come into their own. I like walking them through the process of how to think and I like when they actually respond to critical thinking based activities and are engaged in their work and lessons. I also like developing creative and project based lessons when I have the leeway to do so. I like that I get to see and participate in the process of discovery and growth that kids go through and I like helping them arrive at their own answers.,"When I am at work I time seems to move more quickly/slowly based on student behavior. I have to be focused at all times to make sure that my students are on task. However, I don’t view keeping kids on task as my principal role in my job, so I’m not sure if that ought to count as focusing on my work. For example, my older students use digital books on iPads and after introducing a concept and explaining the practice activities I generally have to circle the room to make sure that they are doing what they’re supposed to and not online etc.",English teacher,Monthly,Frequently,Occasionally,A few times a month,A few times a month,Strongly Agree,Somewhat Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Education,<100,Educational Instruction and Library  ,Other Teachers and Instructors,"Adult Basic, Adult Secondary, and English as a Second Language Instructors",Senior Individual Contributor
81,"I am a preschool teacher at a children's center. I love my job. I work in the infant room but have worked in the toddler, two,three and four year old rooms in the past. I love working with children and watching them learn. Seeing them put in action something I have taught them is so fulfilling. Especially the infants. We teach them baby sign languauge and they learn so fast. I also love watching them reach each milestone of their life.",When I work I usually experience time passing quickly. I have to stay focused all the time and there is not a minute that goes by that there is not a baby that needs something done for them. You can not let yourself be distracted at anytime. They need your full attention.It is easy to give them all my attention.Their precious little reactions are what makes my life have purpose. I would not want to do any other job in the world.,preschool teacher,A few times a year,Sometimes,Nearly Always,A few times a month,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Sometimes,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,<100,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Pre-kindergarten and Kindergarten Teachers,Middle Manager
82,The learning experience and bringing visions to real life. Being able to help others and take that next step in their business or personal brand.  Or making a computer do things with a couple lines of codes.Things are always changing and you always have something new to learn. The amount of stress in this job is low also but the reward is high. Being able meet with others and team up to make a project. BEing vreative and being able to show that.,"It is easy for me to focus when working, simply due to the fact of coding requires a certain level of concentration. Depending on what I am working on it can make time go fast or slow. If I am working on a project I really love or am determined in a goal then time flies quickly. The moments time goes slow tend to be the time I have to learn something new completely and have trouble grasping the concept.",web developer,A few times a year,Sometimes,Sometimes,A few times a year,A few times a year,Disagree,Agree,Nearly Always,Nearly Always,Frequently,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,1001 to 5000,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Senior Individual Contributor
83,What I like most about my job is the actual kind of work I do.  I reset layouts in the store for when new products are arriving.  I love that feeling of wiping it clean and making it look fresh and organized.  Organization and marketing products are my strong skills and I think I project that in my work. I enjoy working alone and not on a team the majority of the time. I like the flexibility that also allows me to be there for my children and minimize my time away from them.,I experience time as passing very quickly when I am at work.  I feel like I get there and get really immersed in a project and before I know it its time to go home. It can be easy where I work to get distracted because of the need to help customers as well as complete my regular duties.  If I am having a heavy workload day or have a layout that is quite intense and a lot of work I can easily really get into it and forget about the time and most everything around me.,Reset Specialist ,A few times a year,Nearly Always,Nearly Always,A few times a year,Monthly,Strongly Disagree,Strongly Agree,Frequently,Frequently,Nearly Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,10001 to 50000,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Manager/Supervisor
84,"I like that I work with children everyday and give them attention when they need it. Also, I am helping to shape them and build a foundation for their later education. Many connections are built between myself and children at the school where I work. We talk about many things in life. My current schedule also aligns between my job and duties as a parent so I am able to be there for my own kids. There are life skills being learned everyday at my job.","Sometimes time can pass quickly if I'm correcting tests or helping children with what they are working on. I find it easy to focus on these things as well as a busy recess when their needs to be a lot of attention focused on actions. Time can pass slowly at times on the job. This can be when I'm waiting for a teacher's lesson to be over with so that I can assist in the classroom. Also, working in the cafeteria seems longer because of the difficulties I face in that part of the job.",para educator,Every week,Occasionally,Sometimes,A few times a month,Every week,Somewhat Disagree,Agree,Nearly Always,Nearly Always,Sometimes,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Teaching Assistants,Junior Individual Contributor
85,"I enjoy managing my team and having the ablility to influence the success of our company. When I'm working with my team, I feel as if I'm my own boss. The success or failure of the team rides on my shoulders. I like having this kind of control. I've hand selected everyone on my team. I know everyone's strengths and weaknesses and we complement each other well. We have also been working like this together for a long time. I feel there isn't anything that we can't accomplish together.","When I'm engrossed in my work then I don't even pay attention to time, and before you know it, the day is over and it's time to for me to go home. This usually occurs when I'm working alone on a project and I can give it my complete focus. However, if there is a specific deadline for a project to be completed, then time seems to go faster. Specifically, this usually occurs when I'm working with my team. Working with others naturally can add more distractions unless everyone is on the same page. We usually have to finish our projects by a certain time. If we cut things too close and we start to feel as if we're running out of time, time begins to appear to move much faster.",network administrator,A few times a year,Sometimes,Frequently,A few times a year,A few times a month,Disagree,Agree,Nearly Always,Nearly Always,Sometimes,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,101 to 500,Computer and Mathematical  ,Computer Occupations,Database and Network Administrators and Architects,Manager/Supervisor
86,"What do I like about my job...?! I guess nothing other than the paycheck. You see, there's really nothing wrong with the job itself, assuming you can do it without depending on other people, ridiculous regulations, inane requirements, etc. I construct assessments for school districts. In a normal world, that'd be an OK work to do, but not so much in this insane world. Right now, I have to wreck perfectly good assessments for the sake of DATA; in short, numbers. Not only are the worthless, but I know for a fact that many of them are fake and totally useless! Buuut, data is better than no data! It doesn't matter if the assessment becomes a piece of junk. All that matters is the DATA! I feel for the kids, I feel for the teachers, I feel for the parents, I feel for everybody involved in this mockery! Nothing is about learning or critical thinking! It's all about high-stakes assessments! And why would it?! The nation is deliberately dumbed down! The teachers' salaries depend on this junk and because of that, they become unbearable. Every is driven insane in this smoke-and-mirrors disgusting brave new world!","The days drag forever, and yet, the weeks, the months, the years slip through your fingers because your ONE life is being wasted, slaving, wasting your energy, wasting your mental health, wasting your life away to do absolutely meaningless things just for the sake of having a roof over your head and food on your table, and even that's getting harder and harder by the day. That's the reason for filling out inane surveys as well - to get some extra cash somehow. And they exploit you more and more by the day, paying less and less... just because they can! Oh, excuse this tangent. We were talking about work. Sometimes you may want to focus and get something done, but yes, you're constantly distracted by clients who think you're their babysitter, asking you the same thing you've told them and e-mailed them literally umpteen times or the app breaks for the umpteen times because incompetent and lazy developers are treated like holy Indian cows and do nothing while you're being squeezed down to the last drop like a lemon! And as far as the clients, you wonder all day how they ever got out of any schooling (never mind even HS) themselves and how they were ever allowed to ""educate"" others, when they can't even make up a coherent sentence themselves! Excuse the judgment of somebody who speaks English as a second language. Sometimes we're even excluded from studies because the illiterate ""native"" speakers are so much better! Well, you probably got more than you bargained for, but hey, you can't accuse me of lack of attention to your survey!",Educational Management Services Coordinator,Every day,Never,Occasionally,Every day,Every day,Strongly Disagree,Strongly Agree,Never,Never,Never,Never,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,<100,Computer and Mathematical  ,Computer Occupations,Miscellaneous Computer Occupations,Senior Individual Contributor
87,I negotiate and write contracts for a living. I travel 25% of the time. I interact with many different people in my daily life. My job affords me the chance to meet many new people and cultures I may have never had a chance to meet otherwise. I have met some of the most amazing people. My job also directly affects my company’s bottom line. I feel a great sense of pride knowing I directly help my company become more profitable.,"When I am in the middle of negotiations, I tend to feel I can concentrate easily. I back my negotiations up with a lot of data. I really enjoy the data mining. I tend to get lost in the data and the day will fly by as I compose the information. The other day, I needed to put together a presentation of the top spend for a supplier. I started at 10:00am. I felt myself get hungry. I looked at the time and it was going on 4:00pm! I was shocked to see how much time had passed!",Commodity Buyer,A few times a year,Occasionally,Occasionally,A few times a year,A few times a year,Neither Agree nor Disagree,Strongly Agree,Nearly Always,Nearly Always,Occasionally,Occasionally,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Manufacturing,5001 to 10000,Office and Administrative Support  ,"Material Recording, Scheduling, Dispatching, and Distributing Workers","Production, Planning, and Expediting Clerks",Senior Individual Contributor
88,My job provides me with varied and interesting duties. As an underwriter of insurance policies each case provides a different challenge. I need to approach each case as a unique situation so I am rarely faced with getting bogged down in routine. It also provides me a pathway to advancement as there are certifications I can earn which qualify me for more responsible positions.,"Generally speaking I find that time passes rather quickly. My job is rarely routine so this is a big plus. Each time I start a new case it's like solving a puzzle as I have to put together multiple pieces of information in order to come to a final solution. For example, if I am evaluating a business for business interruption insurance I have to first understand how the business operates. I have to decide what are the risks which could prevent the business from continuing to operate. Finally I have to make a judgment as to how likely these risks are to materialize. This all needs to be pulled together in order to determine what price to put on it.",insurance underwriter,Never,Frequently,Sometimes,A few times a year,A few times a year,Strongly Disagree,Strongly Agree,Always,Always,Frequently,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Insurance,1001 to 5000,Computer and Mathematical  ,Computer Occupations,Database and Network Administrators and Architects,Senior Individual Contributor
89,"I like that I have the freedom to do things as I see fit.  I have the ability to make things happen and I have a great deal of responsibility.  The level of responsibility drives me to do my best.  I also like that I get to help people, whether it's the student who has questions about the process, or it's a coworker that has a problem with the system.  I like the variety of what I do.  That I get to wear different hats on any given day.  I am primarily the IT support, but if I'm needed to work directly with the students, I'm able to do that as well.  I also appreciate the opportunities to learn something new.  The system changes and new processes are added.  Going to conferences to learn about updates is a highlight of the year.  The infrequent travel is just enough, maybe two or three times a year.  Helps to break up the monotony and re-energizes me for the job.  I enjoy applying new concepts and teaching these new concepts to the rest of the staff.","When I am working, I definitely experience time moving quickly.  Especially when I'm working on something that requires a great deal of thought process, like a complicated report request.  It can be a challenge sometimes, to focus on the technical work.  When students are clamoring around it can get a bit hectic, and I do get frequent interruptions.  But this is all part of making the time pass quickly.  There is always something going on, or a need to be met.  And I enjoy being depended on to meet those needs.",Business Analyst,A few times a year,Sometimes,Always,A few times a year,A few times a month,Neither Agree nor Disagree,Somewhat Agree,Nearly Always,Nearly Always,Sometimes,Always,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Computer and Mathematical  ,Computer Occupations,Computer and Information Analysts,Senior Individual Contributor
90,"There is a lot of structure and routine in my job, but there is also room for creativity and a change of pace. Most of my day is usually spent working on service tickets and doing data center support. However, I also get to work on customer projects and use my project management skills. I find that this aspect of my work is very enjoyable because I get to think outside of the box and bring a little bit of myself into my work.","Most of the time my days seem to pass at a decent pace. I don't notice things moving particularly slowly. When working on my routine tasks like service calls and data center support my day moves along at what I would consider to be an adequate pace. However, when working on a project, I can become extremely engrossed. During those times my day moves very quickly as if the time is just melting away in front of me. Projects help my days move by very quickly and without distraction.",network administrator,A few times a year,Sometimes,Frequently,A few times a year,A few times a month,Disagree,Agree,Frequently,Always,Sometimes,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,101 to 500,Computer and Mathematical  ,Computer Occupations,Database and Network Administrators and Architects,Senior Individual Contributor
91,"What I really like about my job is that I feel it helps the community. I can see that the work I do makes a difference in people’s lives. I meet people from different backgrounds and interact with them every day. When people that I have helped come back and hug me and thank me, it really makes my day. I’m a white middle aged woman and this is an opportunity for me to interact with people who are very different from me. My workdays are never dull and I feel that every day is a new opportunity to learn something and make a difference.","Usually time passes very fast when I’m working. There is never a moment that there is nothing to do and I don’t have time think about anything else than the work at hand. Part of my job is to make sure that people are having a good experience at shopping, so if there is a moment I walk the floor and interact with customers. Over the years many of them have become friends too. For me it’s easy to leave my personal problems at the door when I come to work. Never feel distracted.",Thrift store manager,A few times a year,Nearly Always,Nearly Always,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Always,Always,Nearly Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,<100,Sales and Related  ,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers,Manager/Supervisor
